;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
20-01-0001-42;20-009;CHIQUIMULA;CHIQUIMULA;EODP ROSA FLORES MONROY;10A AVE 3-60 ZONA 1;54824330;NINETH DEL ROSARIO MORALES SANCE DE REYES;ALCIRA MAIBELY RODR͇UEZ SANDOVAL;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0002-42;20-009;CHIQUIMULA;CHIQUIMULA;EODP;6A AVE 5-50 ZONA 1;79420396;NINETH DEL ROSARIO MORALES SANCE DE REYES;SYNDI MEDELLINE CHɎ LӐEZ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0003-42;20-009;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EOUM VICENTE CARRANZA LEMUS;9A. CALLE ZONA 4;79426487;NINETH DEL ROSARIO MORALES SANCE DE REYES;LESBIA LETICIA PɒEZ SڃHITE;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0004-42;20-009;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EOUM MARIA ALBERTINA SALGUERO;4A CALLE 1-42 ZONA 1;79426481;NINETH DEL ROSARIO MORALES SANCE DE REYES;RUDY ARNOLDO CHEG܉N GUZMN;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0005-42;20-024;CHIQUIMULA;CHIQUIMULA;ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-;2A CALLE 4-40 ZONA 1;79420290;SILVIA MARILENA BUEZO MARTINEZ;ERWIN LEONEL COLINDRES MONROY;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0006-42;20-024;CHIQUIMULA;CHIQUIMULA;COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA';6A AVE 5-68 ZONA 1;79420232;SILVIA MARILENA BUEZO MARTINEZ;DANIA ISABEL QUIRӓ SALINAS;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0007-42;20-027;CHIQUIMULA;CHIQUIMULA;"COLEGIO PRIVADO MIXTO ""JUGANDO APRENDO""";4 CALLE A 13-25, ZONA 1;79420373;SILVIA MARILENA BUEZO MARTINEZ;BERTA GLADYS BRENES HERNNDEZ;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0008-43;20-009;CHIQUIMULA;CHIQUIMULA;"EOUM ""MACARIO RIVAS""";4A CALLE 8-51 ZONA 1;79652016;NINETH DEL ROSARIO MORALES SANCE DE REYES;ROXANA LISBETH URRUTIA PINTO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0009-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUV NO. 1 ABRAHAM A CEREZO;10A AVE 3-10 ZONA 1;42212915;NINETH DEL ROSARIO MORALES SANCE DE REYES;RAڌ EDGARDO VILLEDA HERNNDEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0010-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUM VICENTE CARRANZA LEMUS JM;9A. CALLE ZONA 4;79426487;NINETH DEL ROSARIO MORALES SANCE DE REYES;ZABDI ISMERAI SANCɠGALDMEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0011-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUN NO. 2 FLORENCIO MENDEZ;3A CALLE 4-51 ZONA 1;79421130;NINETH DEL ROSARIO MORALES SANCE DE REYES;BRENDA LISSETTE FLORES PALENCIA;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0012-42;20-009;CHIQUIMULA;CHIQUIMULA;"EODP ANEXA A EOUN NO. 1 ""JUAN MANUEL AGUIRRE""";3A. CALLE 4-51 ZONA 1;44864801;NINETH DEL ROSARIO MORALES SANCE DE REYES;ZOILA MARINA AVALOS SANTOS;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0012-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUN NO.1 'JUAN MANUEL AGUIRRE';3A CALLE 4-51 ZONA 1;44864801;NINETH DEL ROSARIO MORALES SANCE DE REYES;ZOILA MARINA AVALOS SANTOS;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0013-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUM DE APLICACION ANEXA A INSO;6A AVE ENTRE 4A Y 5A CALLE ZONA 1;49320589;NINETH DEL ROSARIO MORALES SANCE DE REYES;LICINIO FLORES SAGASTUME;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0014-42;20-009;CHIQUIMULA;CHIQUIMULA;EODP ANEXA A EOUN NO.3 TRNSITO FLORES MORALES;10A. AVENIDA 3-10 ZONA 1;32083119;NINETH DEL ROSARIO MORALES SANCE DE REYES;FLORA SAGASTUME SAGASTUME;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0014-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUN NO. 3 TRANSITO FLORES MORALES;10A AVE 3-10 ZONA 1;32083119;NINETH DEL ROSARIO MORALES SANCE DE REYES;FLORA SAGASTUME SAGASTUME;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0015-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUM MARIA ALBERTINA SALGUERO BRACAMONTE;4A CALLE 1-42 ZONA 1;79426481;NINETH DEL ROSARIO MORALES SANCE DE REYES;RUDY ARNOLDO CHEG܉N GUZMN;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0016-43;20-009;CHIQUIMULA;CHIQUIMULA;EOUM DE APLICACION ANEXA A INVO;4A CALLE Y 6A AVENIDA, ZONA 1;58155571;NINETH DEL ROSARIO MORALES SANCE DE REYES;LISIDIA DEL PILAR ESPAс ARIAS;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0017-43;20-024;CHIQUIMULA;CHIQUIMULA;"COLEGIO EVANGɌICO MIXTO ""AMIGOS""";10MA. AVENIDA 5-38 ZONA 1;79420116;SILVIA MARILENA BUEZO MARTINEZ;LILIAN ARACELY SALAZAR PɒEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0018-43;20-024;CHIQUIMULA;CHIQUIMULA;COLEGIO PRIVADO MIXTO 'SAGRADA FAMILIA';6A AVE 5-68 ZONA 1;79420232;SILVIA MARILENA BUEZO MARTINEZ;DANIA ISABEL QUIRӓ SALINAS;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0019-43;;CHIQUIMULA;CHIQUIMULA;EPUM DE APLICACION INSTITUTO 'MODERNO CHIQUIMULTECO';4A CALLE 9-30 ZONA 1;;;;PRIMARIA;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0020-43;20-024;CHIQUIMULA;CHIQUIMULA;ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-;2A CALLE 4-40 ZONA 1;79420290;SILVIA MARILENA BUEZO MARTINEZ;ERWIN LEONEL COLINDRES MONROY;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0021-43;20-027;CHIQUIMULA;CHIQUIMULA;"COLEGIO PRIVADO MIXTO ""JUGANDO APRENDO""";4 CALLE A 13-25, ZONA 1;79420373;SILVIA MARILENA BUEZO MARTINEZ;BERTA GLADYS BRENES HERNNDEZ;PRIMARIA;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
20-01-0022-44;20-009;CHIQUIMULA;CHIQUIMULA;EOPA;10A AVE 3-10 ZONA 1, CHIQUIMULA;55862075;NINETH DEL ROSARIO MORALES SANCE DE REYES;LESLIE AYMEɠALVAREZ MACHORRO;PRIMARIA DE ADULTOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIQUIMULA
20-01-0023-44;20-024;CHIQUIMULA;CHIQUIMULA;EPPA 'EL CALVARIO';6A. AVENIDA 5-68 ZONA 1;79425648;SILVIA MARILENA BUEZO MARTINEZ;;PRIMARIA DE ADULTOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DOMINICAL;CHIQUIMULA
20-01-0024-45;20-001;CHIQUIMULA;CHIQUIMULA;INEB ADSCRITO A ESCUELA DE CIENCIAS COMERCIALES NOCTURNA;10A. AV. 3-71 ZONA 1;79422150;CESAR ADALBERTO NOGUERA JACOME;HɃTOR ALIDIO CERON BRENES;BASICO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIQUIMULA
20-01-0024-46;20-001;CHIQUIMULA;CHIQUIMULA;ESCUELA DE CIENCIAS COMERCIALES NOCTURNA;10A. AVENIDA 3-71 ZONA 1;79422150;CESAR ADALBERTO NOGUERA JACOME;HɃTOR ALIDIO CERON BRENES;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);CHIQUIMULA
20-01-0025-45;20-001;CHIQUIMULA;CHIQUIMULA;INEB EXPERIMENTAL 'DR. DAVID GUERRA GUZMAN';2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1;79420395;CESAR ADALBERTO NOGUERA JACOME;ROMEO RIVERA CHACӎ;BASICO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);CHIQUIMULA
