;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
05-01-0001-42;05-021;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;2A. CALLE A 3-50, ZONA 3, COLONIA EL RECREO.;78896766;LUZ DEL ROSARIO RODRIGUEZ DE LEON;SARA YANETH MORENO RIVERA;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0002-42;05-022;ESCUINTLA;ESCUINTLA;EODP DEL CENTRO DE BIENESTAR SOCIAL;9A CALLE 0-25 ZONA 4 SALIDA A SANTA LUCIA COTZUMALGUAPA;78881765;JUAN ALBERTO MACHUCA ALVAREZ;KARLA LORENA GUZMAN MONTEPEQUE;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0003-42;05-021;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM MURRAY D. LINCOLN;COLONIA MODELO I ZONA 2;78894898;LUZ DEL ROSARIO RODRIGUEZ DE LEON;IRMA YOLANDA HERRARTE;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0004-42;05-022;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;6TA. CALLE 5-99 ZONA 3 COLONIA SEBASTOPOL;54134704;JUAN ALBERTO MACHUCA ALVAREZ;SARA VIRGINIA PɒEZ RUIZ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0005-42;05-022;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM FRANCISCO ESPINOZA;1A AV. COLONIA EL FERROCARRILERO;55106764;JUAN ALBERTO MACHUCA ALVAREZ;JUAN CARLOS VSQUEZ DEL CID;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0006-42;05-021;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM HUGO EFRAIN BARRERA DE PAZ;COLONIA LA POPULAR;50144836;LUZ DEL ROSARIO RODRIGUEZ DE LEON;JENNIFER MATILDE LӐEZ MORALES;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0007-42;05-025;ESCUINTLA;ESCUINTLA;EODP;7A. CALLE Y 1A. AVENIDA 2-21 ZONA 2, COLONIA PALMERAS DEL NORTE;47570188;ALMA LIBERTAD PEREZ MARTINEZ;MARYBELL ROSALES CASTILLO;PARVULOS;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0008-42;05-022;ESCUINTLA;ESCUINTLA;EODP ANEXA A EOUM;FINAL 2A. CALLE Y 4A. AVENIDA 3-81 ZONA 4, COLONIA PALMERAS DEL SUR;78898983;JUAN ALBERTO MACHUCA ALVAREZ;EDNA ALICIA GLVEZ CHINCHILLA;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0009-42;05-022;ESCUINTLA;ESCUINTLA;EODP CLOTILDE MORALES;3ERA. CALLE 2-16 ZONA 2 COLONIA SAN PEDRO.;78881369;JUAN ALBERTO MACHUCA ALVAREZ;EDGLAN LISBET CASTELLANOS MEZA;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0010-42;05-022;ESCUINTLA;ESCUINTLA;COLEGIO UNIVERSITY KIDS;CANTON PUENTE DE PALO LOTE 34 EL CHUPADERO;78204390;JUAN ALBERTO MACHUCA ALVAREZ;RUTH LORENA AREVALO OSORIO;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0012-42;05-021;ESCUINTLA;ESCUINTLA;COLEGIO 'CRISTIANO INFANTES DEL SUR;4A CALLE 1-02 COLONIA LAS GOLONDRINAS ZONA 3;42736956;LUZ DEL ROSARIO RODRIGUEZ DE LEON;MANASES DELGADO DEBROY;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0013-42;05-022;ESCUINTLA;ESCUINTLA;ANEXA A COLEGIO EVANGELICO NAZARETH;12 CALLE 2-86 ZONA 1;78890060;JUAN ALBERTO MACHUCA ALVAREZ;NELVI ESTIBALI ZACARIAS;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0015-42;05-022;ESCUINTLA;ESCUINTLA;COLEGIO PARTICULAR MIXTO ESCUINTLECO BILING܅;1A AV. 6-60 ZONA 4;78890988;JUAN ALBERTO MACHUCA ALVAREZ;GIEZI HAZAEL LӐEZ BLANCO;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0017-42;05-021;ESCUINTLA;ESCUINTLA;COLEGIO PARTICULAR MIXTO 'EDEN INFANTIL';19 AV. LOTE NO.14 SECCION 'A' COLONIA HUNAPU;;LUZ DEL ROSARIO RODRIGUEZ DE LEON;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0018-42;05-022;ESCUINTLA;ESCUINTLA;CENTRO ESCOLAR NUESTRA SEяRA DE CONCEPCION;KM.59 CARRETERA A SANTA LUCIA COTZUMALGUAPA;78881194;JUAN ALBERTO MACHUCA ALVAREZ;SANTOS PASTOR TZITA;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0020-42;05-022;ESCUINTLA;ESCUINTLA;LICEO INFANTIL LA CASA DE LOS POLLITOS ANEXO A CENTRO EDUC. CON COMPUTACION EL QUETZAL;3A CALLE 3-98 COLONIA EL QUETZAL ZONA 2;78881070;JUAN ALBERTO MACHUCA ALVAREZ;MARIANELA ECHEVERŔ TRIGUEROS;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
05-01-0022-42;;ESCUINTLA;ESCUINTLA;EPDP ANEXA A COLEGIO 'CENTRO EDUCATIVO ESPAяL';5A CALLE 2-51 ZONA 1, ESCUINTLA;78897037;;;PARVULOS;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;MATUTINA;DIARIO(REGULAR);ESCUINTLA
