;;;;;;;;;;;;;;;;
CODIGO;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL
13-01-0001-42;13-001;HUEHUETENANGO;HUEHUETENANGO;EODP ANEXA A ESCUELA TIPO FEDERACION 'CARLOS A. CALDERON T.';CANTON SAN JOSE;77690695;HUGO GONZLEZ SALVADOR;JORGE LUIS HERNNDEZ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0002-42;13-001;HUEHUETENANGO;HUEHUETENANGO;"EODP ANEXA A EOUM ""EL CALVARIO""";"2A AV. ""A"" 4-53 ZONA 3 EL CALVARIO";57786939;HUGO GONZLEZ SALVADOR;ANA MAŔ SALOJ YAXӎ;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0003-42;13-001;HUEHUETENANGO;HUEHUETENANGO;EODP ANEXA AL CENTRO DE BIENESTAR SOCIAL;"12 AVENIDA 7-30 ZONA 5 COLONIA ""LA HONDONADA""";59981238;HUGO GONZLEZ SALVADOR;ANA PATRICIA HERNNDEZ RIVAS;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0004-42;13-001;HUEHUETENANGO;HUEHUETENANGO;"EODP ""EDELMIRA MAURICIO""";3.CALLE 3-39 ZONA 1;77641013;HUGO GONZLEZ SALVADOR;BRENDA EUNICE HERRERA AFRE;PARVULOS;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0005-42;13-001;HUEHUETENANGO;HUEHUETENANGO;COLEGIO PRIVADO EVANGELICO MIXTO 'LA AURORA';5A CALLE 5-47 ZONA 1;77641328;HUGO GONZLEZ SALVADOR;OVIDIA YOLANDA SOTO VILLATORO;PARVULOS;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0006-43;13-001;HUEHUETENANGO;HUEHUETENANGO;"EOUM JM TIPO FEDERACION ""CARLOS CALDERON TARACENA """;CANTӎ SAN JOSɬ ZONA 5;77690695;HUGO GONZLEZ SALVADOR;JORGE LUIS HERNNDEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0007-43;13-001;HUEHUETENANGO;HUEHUETENANGO;EOUV 'DOMINGO MORALES';2A CALLE 6-83 ZONA 1;41233351;HUGO GONZLEZ SALVADOR;LORENA JUDITH CANO HERNNDEZ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0008-43;13-001;HUEHUETENANGO;HUEHUETENANGO;"EOUN NO. 2 ""JACINTA MOLINA""";3A. CALLE 3-09 ZONA 1;77640259;HUGO GONZLEZ SALVADOR;MAHALY ESTER ROBLERO MAZARIEGOS;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0009-43;13-001;HUEHUETENANGO;HUEHUETENANGO;EOUM 'MINERVA' KAIBIL BALAM;1A. AVE. ZONA 2, COLONIA PANAMA;77642208;HUGO GONZLEZ SALVADOR;STUARDO GREGORIO GARĆ SERRANO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0010-43;13-001;HUEHUETENANGO;HUEHUETENANGO;"ESCUELA OFICIAL URBANA DE NIсS NO.1 ""AMALIA CHVEZ""";5A. AVE. 3-59 ZONA 1;77641934;HUGO GONZLEZ SALVADOR;BLANCA LIDIA ALVARADO HIDALGO;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0011-43;13-001;HUEHUETENANGO;HUEHUETENANGO;"EOUM ""EL CALVARIO""";"2A. AVENIDA ""A"" 4-53 ZONA 3 EL CALVARIO";57786939;HUGO GONZLEZ SALVADOR;ANA MAŔ SALOJ YAXӎ;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
13-01-0012-43;13-001;HUEHUETENANGO;HUEHUETENANGO;"EOUV NO.1 ""SALVADOR OSORIO""";2A. CALLE 7-26 ZONA 1;77641669;HUGO GONZLEZ SALVADOR;DIMAS NOɠMORALES;PRIMARIA;OFICIAL;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);HUEHUETENANGO
